DBN,School Name,X_Coordinate,Y_Coordinate,Latitude,Longitude
09X517,Frederick Douglas Academy III Secondary School,1010829,242956,40.833493,-73.903951
09X525,Bronx Leadership Academy High School,1011097,246511,40.84325,-73.902969
09X593,South Bronx International Middle School,1008032,240747,40.827438,-73.914067
09X594,M.S.594,1008032,240747,40.827438,-73.914067
10X051,P.S. 051 Bronx New School,1015610,249277,40.850674,-73.886997
10X080,J.H.S. 080 The Mosholu Parkway,1017091,258749,40.876819,-73.881245
10X085,P.S. 085 Great Expectations,1013383,252139,40.858689,-73.894682
10X205,P.S. 205 Fiorello Laguardia,1016961,251076,40.855759,-73.881753
10X246,P.S. 246 Poe Center,1013209,254792,40.865972,-73.8953
10X331,The Bronx School of Young Leaders,1008920,249231,40.850722,-73.910827
10X342,International School for Liberal Arts,1012719,255917,40.869061,-73.897066
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,1011776,252431,40.859496,-73.90049
10X391,The Angelo Patri Middle School,1012632,250523,40.854257,-73.897404
10X433,High School for Teaching and the Professions,1012719,255917,40.869061,-73.897066
10X438,Fordham Leadership Academy,1015058,252424,40.859466,-73.888625
10X440,DeWitt Clinton High School,1014942,259890,40.879958,-73.889011
10X459,East Fordham Academy for the Arts,1011776,252431,40.859496,-73.90049
11X083,P.S. 083 Donald Hertz,1023323,248687,40.849176,-73.858769
11X096,P.S. 096 Richard Rodgers,1020490,252892,40.86073,-73.868986
11X105,P.S. 105 Sen Abraham Bernstein,1021247,250104,40.853075,-73.866264
11X111,P.S. 111 Seton Falls,1028689,261519,40.884371,-73.839288
11X112,P.S. 112 Bronxwood,1027392,261724,40.88494,-73.843977
11X287,North Bronx School of Empowerment,1022929,260153,40.880649,-73.860126
11X370,Leaders of Tomorrow,1022929,260153,40.880649,-73.860126
11X508,Bronxdale High School,1022774,252791,40.860443,-73.860729
12X044,P.S. 044 David C. Farragut,1014385,246265,40.842564,-73.891086
12x061,P.S. 061 Francisco Oller,1013918,243930,40.836156,-73.892784
12X067,P.S. 067 Mohegan School,1016292,246711,40.843781,-73.884192
12X211,P.S. 211,1014645,246681,40.843705,-73.890145
12X212,P.S. 212,1016262,213649,40.753035,-73.884458
12X217,School of Performing Arts,1013486,238792,40.822056,-73.894368
12X248,"Metropolitan High School, The",1012776,240789,40.827539,-73.896925
12X271,East Bronx Academy For The Future,1015328,244174,40.836821,-73.887688
12X286,Fannie Lou Hamer Middle School,1015648,242233,40.831493,-73.88654
12X341,Accion Academy,1013486,238792,40.822056,-73.894368
12X463,Urban Scholars Community School,1011891,241104,40.828406,-73.900121
12X479,Bronx Career and College Preparatory High School,1011761,240567,40.826933,-73.900593
12X550,High School of World Cultures,1017958,242606,40.832508,-73.878191
12X595,P.S.595,1014794,247592,40.846205,-73.889602
12X682,Fannie Lou Hamer Freedom High School,1015852,242131,40.831212,-73.885804
13K067,P.S. 067 Charles A. Dorsey,990441,192608,40.695339,-73.977674
13K301,Satellite East Middle School,999301,189083,40.685653,-73.94573
13K350,Urban Assembly School for Music and Art,988540,193333,40.69733,-73.984528
